session_num,subject,date,total_time_taken,avg_time_per_q,bonus_at_end,total_questions_in_session
1,Chemistry,2025-06-18,2820,74.21,900,38
2,Chemistry,2025-06-18,2280.287383556366,60.007562725167524,0,38
